Outcomes	coefficient	pval	pre_cont_mean	pre_cont_sd	pre_cont_n	post_cont_mean	post_cont_sd	post_cont_n	pre_int_mean	pre_int_sd	pre_int_n	post_int_mean	post_int_sd	post_int_n
Total Grams	103.045964813527	0.857158430939612	2837.15730769231	858.273011702413	13	3393.98645454545	1088.72061211602	11	2937.63358333333	814.93533759919	24	3597.508695	1525.53214356686	20
Energy kcal	-371.067241083906	0.4219457046089	2640.88753846154	869.472805623865	13	2594.53380454545	794.957575526839	11	2807.502875	982.766395486931	24	2390.0819	869.914394888909	20
Total Fat g	7.91856194638697	0.543098927530663	51.4805384615385	24.1702649951526	13	45.7798181818182	23.9613823216365	11	52.6319583333333	24.2945174303196	24	54.8498	28.1375515816591	20
Total Carbohydrate g	-116.427488694637	0.128965019165563	393.703846153846	149.403043857238	13	408.387218181818	171.314008597673	11	423.902916666667	148.144121869892	24	322.1588	135.163431103005	20
Total Protein g	10.2739023484852	0.669434916366954	133.1299	37.8583861887077	13	128.693181818182	41.1809407658887	11	125.670070833333	42.4969811361423	24	131.507255	58.8568356115832	20
Animal Protein g	17.0261745920747	0.43044779974356	105.559923076923	31.924597524118	13	94.8551818181818	39.4561617312637	11	93.6289166666667	39.1065409984355	24	99.95035	51.6013889656746	20
Vegetable Protein g	-6.82963627039611	0.310619016191406	27.0908461538462	7.90137865445174	13	33.8379090909091	15.6654943072636	11	31.9025833333333	13.4262765498389	24	31.82001	13.8868131383281	20
Alcohol g	0.0634927738927739	0.121862790443	0.0689230769230769	0.107606119357019	13	0.0203636363636364	0.067538541185419	11	0.0186666666666667	0.0632418866882073	24	0.0336	0.0820618508712852	20
Cholesterol mg	45.241391456877	0.513852251365425	330.630446153846	116.155780679745	13	297.989636363636	133.738086989663	11	296.513458333333	123.859929061185	24	309.11404	158.547214523658	20
Total Saturated Fatty Acids SFA g	3.6230088898601	0.732209999758226	18.2624692307693	23.4992085255772	13	13.7974590909091	19.1259751635939	11	16.09725625	20.9617572561699	24	15.255255	19.2168023051985	20
Total Monounsaturated Fatty Acids MUFA g	4.73190513986016	0.159574426106214	16.3267692307692	7.80707496605746	13	13.1189090909091	5.5872317556111	11	15.545375	5.09070805541182	24	17.06942	7.56469101380326	20
Total Polyunsaturated Fatty Acids PUFA g	2.32678685897441	0.469551581927822	14.4673076923077	4.9948396601662	13	12.54	5.75531959147361	11	16.0008208333333	5.9823912323897	24	16.4003	7.50033267402538	20
Fructose g	-14.6020043560606	0.123591971885317	14.2375	21.6302783420891	13	17.2604772727273	24.8325351105799	11	16.9996770833333	19.6461330205263	24	5.42065	7.02744598567495	20
Galactose g	0.00557450174825227	0.691720532781611	0.0146846153846154	0.0297894163575435	13	0.000636363636363636	0.00143336856898198	11	0.01746875	0.0335486273045819	24	0.00899500000000001	0.0248670194815289	20
Glucose g	-1.75550712703965	0.437612101709996	0.856384615384615	2.1488636352912	13	2.91279090909091	4.38568098257376	11	3.30342083333333	4.9371496997127	24	3.60432	4.79755982235268	20
Lactose g	-0.672347569930097	0.824010648190503	3.23471538461539	6.06652018854936	13	3.78384545454546	6.48058332071483	11	2.9094375	5.74647473203563	24	2.78622	5.68806972842004	20
Maltose g	-0.664858613053622	0.384967863760607	0.105461538461538	0.327116598831012	13	1.34498181818182	1.86608654023236	11	0.728033333333333	1.39138442056719	24	1.302695	1.80397677032395	20
Sucrose g	-81.9151337995337	0.015123857668566	111.314969230769	73.2088585458002	13	111.951236363636	80.4928095770955	11	121.054666666667	65.6473936385614	24	39.7758	44.2948243401677	20
Starch g	-11.8888682430054	0.780499335185486	215.703538461538	70.820008925933	13	228.627995454545	91.7172944372556	11	215.67320625	79.2972971975885	24	216.708795	90.6711123773471	20
Total Dietary Fiber g	-7.3155680652681	0.0598662125298367	4.77730769230769	2.90099099115617	13	11.0709090909091	11.0452483467285	11	8.04854166666667	7.86663973193775	24	7.026575	6.69665162850456	20
Soluble Dietary Fiber g	-2.0125357371795	0.0199591488063931	0.629153846153846	0.599686980314709	13	2.45245	2.18098506127392	11	1.78203958333333	1.81173020312311	24	1.5928	1.58881265166956	20
Insoluble Dietary Fiber g	-4.02205176573427	0.296768180937634	5.10543846153846	6.43450949821074	13	8.32767272727273	9.03155645501826	11	6.9378375	7.63651337080253	24	6.13802	7.07633914859194	20
Pectins g	-0.493943446969701	0.125121958345854	0.06	0.114941289361134	13	0.456536363636364	0.734594353398837	11	0.475802083333334	0.750953482968439	24	0.378395	0.580047052742049	20
Total Vitamin A Activity International Units IU	-516.595935477869	0.498539028287023	870.464538461538	645.999920157582	13	1464.81552727273	1563.50697935566	11	1635.35606666667	1591.99150710628	24	1713.11112	1690.80188929695	20
Beta-Carotene Equivalents derived from provitamin A carotenoids mcg	-97.3768129661948	0.574583141796355	16.5347692307692	28.5424392824494	13	85.3205363636364	265.989875154233	11	266.658970833333	406.943673103072	24	238.067925	385.270500245637	20
Retinol mcg	-117.023505075762	0.5681246543933	251.688	186.282387590275	13	354.803790909091	343.853827218603	11	419.492354166667	455.606914735739	24	405.58464	452.226339736791	20
Vitamin D calciferol mcg	8.66070355477857	0.511192379022272	56.3903846153846	18.490457027606	13	47.1452727272727	25.1537401079478	11	55.8657083333333	26.0552248544429	24	55.2813	29.3235028641029	20
Total Alpha-Tocopherol Equivalents mg	1.82140437062937	0.216467305222739	4.61353846153846	3.62706703401395	13	3.34990909090909	2.02903535969906	11	4.009125	2.24711754133272	24	4.5669	3.3237017869269	20
Vitamin E Total Alpha-Tocopherol mg	1.26441494172494	0.270489513086664	3.42904615384615	2.52839364571506	13	2.66745454545455	1.434869566451	11	3.08631666666667	1.88741619282222	24	3.58914	2.71344048539663	20
Beta-Tocopherol mg	-0.0394073863636354	0.705137510537492	0.309	0.217120166420963	13	0.312713636363636	0.223758669207373	11	0.28174375	0.196578388674904	24	0.24605	0.191386760527637	20
Gamma-Tocopherol mg	3.67987480186484	0.279296173212727	7.76147692307693	8.92872369874832	13	4.13654545454545	5.36717881877689	11	7.56916666666667	4.99227340969036	24	7.62411	7.20775273459437	20
Delta-Tocopherol mg	0.312168633449899	0.650838311898952	2.04669230769231	1.31158507060575	13	1.56090909090909	1.37103336608162	11	2.58256458333333	1.29279071665165	24	2.40895	1.42063956964534	20
Vitamin K phylloquinone mcg	8.24819364801883	0.389254287037626	12.0122307692308	13.3757274391205	13	10.0670454545455	21.9919552478339	11	15.9356666666667	11.1059293159562	24	22.238675	25.6579028870224	20
Vitamin C ascorbic acid mg	-18.7077652972032	0.587466583086614	16.1455153846154	47.2122197524443	13	36.3202181818183	67.7504596311027	11	43.1631875000001	68.6432776108253	24	44.6301250000002	75.8442234937882	20
Thiamin vitamin B1 mg	-0.176495582750572	0.663161231433079	2.24346153846154	0.562351108499636	13	2.37814545454545	0.819186738617803	11	2.47979166666667	0.772124003285272	24	2.43798	0.914937482822561	20
Riboflavin vitamin B2 mg	-0.150639452214455	0.560836381380501	0.977846153846154	0.36412105270863	13	1.05172727272727	0.401086546996802	11	1.20839583333333	0.535199165064962	24	1.1316375	0.588713877397832	20
